seqID	mt	X	Y	total_reads	gcc_reads
GLRGC0016	1410	561220	69587	22451646	22484920
GLRGC0368	6680	549076	66370	21898641	21904283
GLRGC0494	5229	707812	7251	15888964	15881378
GLRGC0461	8069	717015	79773	29072886	29135826
GLRGC0318	3577	710510	81636	28372548	28414627
GLRGC0481	3504	1857557	13846	38393123	38422906
GLRGC0062	2087	729846	84820	28607855	28666930
GLRGC0177	1036	740787	91071	29651361	29677734
GLRGC0145	5495	1366998	10675	28076294	28022058
GLRHD0091	1279	676740	78198	26747457	26793356
GLRHD0723	4206	1057050	8124	21641010	21693346
GLRGC0197	6443	1209470	7620	23625284	23669112
GLRBC0014	1505	1207022	8219	25400931	25470050
GLRGC0140	1624	523145	62754	20700674	20739725
GLRGC0059	1754	1153648	7023	23345750	23380455
GLRHD0657	1764	1524021	9486	30810957	30859964
GLRGC0400	5374	792358	91732	31730192	31774582
GLRGC0179	1058	1195622	8684	24614998	24666078
GLRGC0213	4488	1444282	8758	29280892	29366092
GLRHD0959	4536	1488620	10837	29246405	29303152
GLRGC0068	1513	669019	80048	26789014	26825613
GLRBC0001	562	1279567	8165	25995044	26054545
GLRGC0147	2233	1062144	6066	21138184	21179272
GLRGC0205	3459	812576	98132	32272149	32333626
CRLG0008	13978	563613	64361	24973185	24995191
CRLR0009	856	1621194	12744	33209484	33260649
GLRHD0646	2106	1041301	7007	21528894	21566659
GLRGC0430	4009	925911	97505	37803724	37835949
GLRHD0366	2146	444104	46567	18048727	18073895
GLRGC0268	1924	646002	74302	25897400	25926408
GLRHD0636	5218	621885	71402	24817569	24869221
GLRGC0258	699	1679045	11558	34856728	34890288
GLRGC0112	1929	489197	57225	19450351	19458596
GLMHD1038	23029	1445144	10776	30301004	30329291
