type,AUC,AUC-ALL,top_feature,n_pcas,cb_AUC,lr_AUC,90%.sens-I,90%.sens-II,90%.sens-III,90%.sens,90%.spec,95%.sens-I,95%.sens-II,95%.sens-III,95%.sens,95%.spec,98%.sens-I,98%.sens-II,98%.sens-III,98%.sens,98%.spec
TRAIN_CV,0.665581,0.665581,190,0,0.766046511627907,0.5397463002114165,0.324,0.424,0.348,0.344,0.905,0.213,0.303,0.217,0.228,0.955,0.162,0.182,0.109,0.153,0.982
TRAIN_CV,0.663214,0.663214,200,0,0.7713107822410148,0.549968287526427,0.324,0.424,0.304,0.335,0.905,0.257,0.364,0.239,0.27,0.955,0.169,0.303,0.174,0.191,0.982
TRAIN_CV,0.675391,0.675391,210,0,0.7674418604651162,0.5562262156448203,0.353,0.364,0.261,0.335,0.905,0.265,0.242,0.174,0.242,0.955,0.221,0.182,0.174,0.205,0.982
TRAIN_CV,0.668288,0.668288,220,0,0.7754545454545454,0.5407822410147991,0.309,0.394,0.304,0.321,0.905,0.25,0.303,0.261,0.26,0.955,0.176,0.152,0.152,0.167,0.982
TRAIN_CV,0.67759,0.67759,230,0,0.7731289640591966,0.537399577167019,0.309,0.333,0.239,0.298,0.905,0.235,0.273,0.239,0.242,0.955,0.169,0.152,0.13,0.158,0.982
TRAIN_CV,0.666892,0.666892,240,0,0.7591331923890063,0.5610782241014799,0.316,0.364,0.326,0.326,0.905,0.191,0.182,0.217,0.195,0.955,0.14,0.152,0.174,0.149,0.982
TRAIN_CV,0.693805,0.693805,250,0,0.7636152219873151,0.5876638477801268,0.338,0.364,0.326,0.34,0.905,0.25,0.273,0.283,0.26,0.955,0.206,0.212,0.239,0.214,0.982
TRAIN_CV,0.709175,0.709175,260,0,0.778139534883721,0.5987315010570825,0.382,0.303,0.348,0.363,0.905,0.265,0.212,0.283,0.26,0.955,0.184,0.182,0.174,0.181,0.982
TRAIN_CV,0.700698,0.700698,270,0,0.7739534883720931,0.5935835095137421,0.375,0.364,0.304,0.358,0.905,0.235,0.273,0.217,0.237,0.955,0.176,0.182,0.196,0.181,0.982
TRAIN_CV,0.716131,0.716131,280,0,0.7813107822410148,0.5987103594080339,0.346,0.394,0.326,0.349,0.905,0.257,0.303,0.261,0.265,0.955,0.184,0.182,0.152,0.177,0.982
TRAIN_CV,0.713975,0.713975,290,0,0.7804862579281183,0.6020401691331924,0.316,0.333,0.304,0.316,0.905,0.243,0.303,0.261,0.256,0.955,0.11,0.152,0.087,0.112,0.982
TRAIN_CV,0.723658,0.723658,300,0,0.7805708245243128,0.605031712473573,0.316,0.394,0.348,0.335,0.905,0.243,0.212,0.217,0.233,0.955,0.162,0.152,0.152,0.158,0.982
TRAIN_CV,0.712748,0.712748,310,0,0.7779069767441861,0.5970507399577167,0.309,0.364,0.37,0.33,0.905,0.243,0.303,0.261,0.256,0.955,0.132,0.182,0.087,0.13,0.982
